"Program","Year","Period","State","State ANSI","Fruit","Price or Weight?","Pesticide or Market","Measurement Unit","Aggregate type","Domain","Domain Category","Value","CV (%)"
"SURVEY",2022,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," UTILIZED - PRODUCTION"," MEASURED IN CWT",NA,"TOTAL","NOT SPECIFIED","24,780,000",NA
"SURVEY",2022,"YEAR","FLORIDA","12","STRAWBERRIES","PRODUCTION"," MEASURED IN $",NA,NA,"TOTAL","NOT SPECIFIED","511,300,000",NA
"SURVEY",2022,"YEAR","FLORIDA","12","STRAWBERRIES","PRODUCTION"," MEASURED IN CWT",NA,NA,"TOTAL","NOT SPECIFIED","3,020,000",NA
"SURVEY",2022,"YEAR","FLORIDA","12","STRAWBERRIES",NA," FRESH MARKET - PRODUCTION"," MEASURED IN $",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2022,"YEAR","FLORIDA","12","STRAWBERRIES",NA," FRESH MARKET"," UTILIZED - PRODUCTION"," MEASURED IN CWT","TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2022,"YEAR","FLORIDA","12","STRAWBERRIES",NA," NOT SOLD - PRODUCTION"," MEASURED IN CWT",NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2022,"YEAR","FLORIDA","12","STRAWBERRIES",NA," PROCESSING - PRODUCTION"," MEASURED IN $",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2022,"YEAR","FLORIDA","12","STRAWBERRIES",NA," PROCESSING"," UTILIZED - PRODUCTION"," MEASURED IN CWT","TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2022,"YEAR","FLORIDA","12","STRAWBERRIES",NA," UTILIZED - PRODUCTION"," MEASURED IN CWT",NA,"TOTAL","NOT SPECIFIED","3,020,000",NA
"SURVEY",2022,"YEAR","OTHER STATES",NA,"STRAWBERRIES","PRODUCTION"," MEASURED IN $",NA,NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2022,"YEAR","OTHER STATES",NA,"STRAWBERRIES","PRODUCTION"," MEASURED IN CWT",NA,NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2022,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," FRESH MARKET - PRODUCTION"," MEASURED IN $",NA,"TOTAL","NOT SPECIFIED","3,054,100,000",NA
"SURVEY",2022,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," FRESH MARKET"," UTILIZED - PRODUCTION"," MEASURED IN CWT","TOTAL","NOT SPECIFIED","22,570,000",NA
"SURVEY",2022,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," NOT SOLD - PRODUCTION"," MEASURED IN CWT",NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2022,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," PROCESSING - PRODUCTION"," MEASURED IN $",NA,"TOTAL","NOT SPECIFIED","141,970,000",NA
"SURVEY",2022,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," PROCESSING"," UTILIZED - PRODUCTION"," MEASURED IN CWT","TOTAL","NOT SPECIFIED","5,230,000",NA
"SURVEY",2022,"YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," UTILIZED - PRODUCTION"," MEASURED IN CWT",NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2021,"MARKETING YEAR","CALIFORNIA","06","STRAWBERRIES","PRICE RECEIVED"," MEASURED IN $ / CWT",NA,NA,"TOTAL","NOT SPECIFIED","125",NA
"SURVEY",2021,"MARKETING YEAR","CALIFORNIA","06","STRAWBERRIES",NA," FRESH MARKET - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2021,"MARKETING YEAR","CALIFORNIA","06","STRAWBERRIES",NA," PROCESSING - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2021,"MARKETING YEAR","FLORIDA","12","STRAWBERRIES","PRICE RECEIVED"," MEASURED IN $ / CWT",NA,NA,"TOTAL","NOT SPECIFIED","160",NA
"SURVEY",2021,"MARKETING YEAR","FLORIDA","12","STRAWBERRIES",NA," FRESH MARKET - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2021,"MARKETING YEAR","FLORIDA","12","STRAWBERRIES",NA," PROCESSING - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2021,"MARKETING YEAR","OTHER STATES",NA,"STRAWBERRIES","PRICE RECEIVED"," MEASURED IN $ / CWT",NA,NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2021,"MARKETING YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," FRESH MARKET - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","143",NA
"SURVEY",2021,"MARKETING YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," PROCESSING - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","64",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES","PRODUCTION"," MEASURED IN $",NA,NA,"TOTAL","NOT SPECIFIED","3,020,410,000",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES","PRODUCTION"," MEASURED IN CWT",NA,NA,"TOTAL","NOT SPECIFIED","24,200,000",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES","PRODUCTION"," MEASURED IN TONS",NA,NA,"TOTAL","NOT SPECIFIED","1,210,000",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)","1,900",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFAC F727 = 16489)","(NA)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082)","(NA)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)","(NA)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS PUMILUS = 6485)","(NA)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)","(NA)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BLAD = 30006)","(D)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BORAX DECAHYDRATE = 11102)","100",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)","2,100",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BT SUBSP KURSTAKI EVB-113-19 = 6544)","(NA)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CAPTAN = 81301)","253,600",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OCTANOATE = 23306)","(D)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYFLUFENAMID = 555550)","500",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)","11,300",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (DIFENOCONAZOLE = 128847)","(D)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FENHEXAMID = 90209)","16,700",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUDIOXONIL = 71503)","7,500",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)","3,800",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUXAPYROXAD = 138009)","1,800",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FOSETYL-AL = 123301)","(D)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (ISOFETAMID = 270000)","(D)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)","2,400",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MONO-POTASSIUM SALT = 76416)","(D)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)","4,100",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PENTHIOPYRAD = 90112)","3,400",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POLYOXIN D ZINC SALT = 230000)","2,300",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POTASSIUM BICARBON. = 73508)","10,600",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PROPICONAZOLE = 122101)","1,200",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)","3,100",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRIMETHANIL = 288201)","10,800",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (QUINOLINE = 55459)","2,000",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (STREPTOMYCES LYDICUS = 6327)","(NA)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)","591,200",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TETRACONAZOLE = 120603)","800",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIOPHANATE-METHYL = 102001)","9,400",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIRAM = 79801)","96,300",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","1,056,400",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)","3,900",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLUMIZOLE = 128879)","6,300",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)","(D)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)","500",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)","(D)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)","(D)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NAPROPAMIDE = 103001)","(D)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)","1,700",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)","(D)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)","10,800",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","16,900",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)","200",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACEQUINOCYL = 6329)","7,400",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)","2,300",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (AZADIRACHTIN = 121701)","600",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BEAUVERIA BASSIANA = 128924)","(NA)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENAZATE = 586)","16,700",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENTHRIN = 128825)","3,400",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAK ABTS-1857 = 6523)","(NA)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI ABTS-351 = 6522)","(NA)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI EG7841 = 6453)","(NA)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI SA-11 = 6519)","(NA)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT SUB AIZAWAI GC-91 = 6426)","(NA)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BUPROFEZIN = 275100)","(D)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BURKHOLDERIA A396 CELLS & MEDIA = 6534)","(NA)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CANOLA OIL = 11332)","(D)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)","1,800",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329)","(NA)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYANTRANILIPROLE = 90098)","1,100",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYFLUMETOFEN = 138831)","5,500",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (DIAZINON = 57801)","(D)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ETOXAZOLE = 107091)","(D)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENBUTATIN-OXIDE = 104601)","(D)",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPROPATHRIN = 127901)","2,500",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPYROXIMATE = 129131)","200",NA
"SURVEY",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLONICAMID = 128016)","3,600",NA
